,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
29,3,0,364,329,12,95,79,27,24,2,101,0,3,51,24,48,5,1,23,785,0,24,134,10,883,648,1191,415,1026,8852,904,826,28,25,109,10,172,39,18,26,0,0,0,10,1,0,2,0,47
30,22,0,551,672,9,134,38,40,38,6,142,0,2,69,34,134,17,4,47,380,0,57,325,23,357,1113,168,228,322,939,34067,1159,138,47,595,179,1490,403,356,237,0,0,3,97,5,2,13,3,318
31,4,0,124,120,2,30,7,11,7,1,226,0,0,47,9,32,5,1,30,410,0,9,129,4,196,615,98,177,287,460,1364,691,30,216,221,9,122,37,16,60,0,0,1,11,0,0,1,0,51
32,12,0,435,522,7,135,18,57,48,2,336,0,0,80,52,93,14,5,96,578,0,31,517,7,75,116,26,35,18,17,144,20,8851,825,5239,145,1567,235,368,143,0,0,0,28,1,5,5,2,165
33,6,0,214,378,15,62,9,33,36,2,1350,0,0,46,35,86,4,5,107,1861,0,17,1357,2,134,104,25,7,37,30,42,155,958,4885,4832,140,442,72,91,58,0,0,0,9,1,1,2,0,106
34,27,0,2237,2958,40,911,112,485,186,8,1673,0,2,279,243,314,38,20,204,5094,0,203,2902,10,349,817,230,60,57,96,595,186,5287,4146,113310,360,3167,533,782,457,0,0,2,30,8,6,5,6,870
35,2,0,112,277,4,26,21,7,10,1,93,0,0,21,10,36,1,1,20,113,0,6,103,2,17,106,11,9,5,13,187,13,191,150,573,12728,3297,224,623,2097,0,0,0,2,0,0,0,0,151
36,14,0,2737,2723,26,1095,203,236,246,0,1154,0,2,244,177,208,11,14,118,1209,0,184,689,24,380,1651,228,49,80,147,1262,102,1411,245,3507,3344,138424,9802,9652,8967,0,0,0,85,6,12,7,1,892
37,17,0,555,678,5,290,21,125,82,1,202,0,12,46,34,46,24,1,25,205,0,39,280,8,172,342,35,18,31,37,355,27,304,67,731,231,9833,51784,1974,2455,0,0,1,27,10,1,4,1,623
38,4,0,255,358,4,112,34,39,17,0,177,0,0,30,22,47,4,1,35,234,0,19,212,6,78,170,27,10,21,20,415,20,549,88,1384,654,8590,1686,3125,467,0,0,0,6,1,0,0,1,88
39,4,0,470,560,2,228,56,84,55,0,283,0,0,93,27,40,0,1,32,149,0,24,123,2,73,260,26,16,14,17,151,75,122,24,389,2357,9055,2890,420,50569,0,0,3,37,4,2,0,2,470
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,0,45,14,0,5,0,1,0,0,6,0,0,0,1,3,1,1,23,3,0,0,17,0,3,2,0,0,0,0,2,0,0,0,4,0,0,2,0,1,0,0,1401,1,0,4,0,0,44
43,52,0,1414,930,8,449,6,54,79,0,86,0,0,16,31,34,0,0,40,66,0,47,110,6,127,228,16,24,12,10,99,7,36,8,68,0,79,23,4,61,0,0,1,367888,15,160,41,1043,3273
44,2,0,125,76,0,37,2,25,3,0,10,0,0,2,3,2,6,1,0,7,0,3,12,1,5,14,0,1,0,0,1,0,1,1,10,0,12,10,0,1,0,0,0,14,83007,55,17,1,691
45,7,0,220,149,0,91,2,12,13,0,20,0,0,5,3,0,0,0,0,12,0,3,26,0,14,14,3,1,0,1,0,0,0,2,11,0,14,1,2,0,0,0,4,156,52,164519,166,4,1625
46,8,0,329,93,2,96,1,22,15,1,25,0,0,6,4,7,0,0,1,13,0,5,22,3,18,38,2,3,1,1,7,2,5,0,7,0,14,3,0,2,0,0,1,43,19,178,29218,3,630
47,153,0,99,30,0,9,0,3,4,0,4,0,0,0,1,3,0,0,0,5,0,2,5,3,8,10,0,1,0,1,6,1,2,1,4,0,1,3,1,0,0,0,0,1149,2,5,3,3296,329
48,1399,0,7391,2590,11,2413,79,711,615,97,1066,0,4,580,586,556,198,73,391,742,0,463,670,162,729,1242,122,122,69,69,295,48,92,92,869,164,1179,679,95,490,0,0,44,3255,689,1610,650,436,0
