,AP,x_coordinate(m),y_coordinate(m),floor
627,Bldg23AP42,21606,33017,8.0
628,Bldg23AP43,21606,33017,8.0
629,Bldg23AP44,21606,33017,9.0
630,Bldg23AP45,21606,33017,9.0
631,Bldg23AP46,21606,33017,9.0
632,Bldg24AP1,20908,33337,2.0
633,Bldg24AP2,20908,33337,2.0
634,Bldg24AP3,20908,33337,3.0
635,Bldg24AP4,20908,33337,2.0
636,Bldg24AP5,20908,33337,3.0
637,Bldg24AP6,20908,33337,3.0
638,Bldg25AP1,21408,33024,2.0
639,Bldg25AP2,21408,33024,2.0
640,Bldg25AP3,21408,33024,2.0
641,Bldg25AP4,21408,33024,3.0
642,Bldg25AP5,21408,33024,3.0
643,Bldg25AP6,21408,33024,4.0
644,Bldg25AP7,21408,33024,4.0
645,Bldg25AP8,21408,33024,6.0
646,Bldg25AP9,21408,33024,7.0
647,Bldg25AP10,21408,33024,2.0
648,Bldg25AP11,21408,33024,2.0
649,Bldg25AP12,21408,33024,2.0
650,Bldg25AP13,21408,33024,3.0
651,Bldg25AP14,21408,33024,3.0
652,Bldg25AP15,21408,33024,5.0
653,Bldg25AP16,21408,33024,7.0
654,Bldg25AP17,21408,33024,7.0
655,Bldg25AP18,21408,33024,2.0
656,Bldg25AP19,21408,33024,3.0
657,Bldg25AP20,21408,33024,5.0
658,Bldg25AP21,21408,33024,7.0
659,Bldg25AP22,21408,33024,8.0
660,Bldg25AP23,21408,33024,4.0
661,Bldg25AP24,21408,33024,
662,Bldg26AP1,21399,33054,5.0
663,Bldg26AP2,21399,33054,4.0
664,Bldg26AP3,21399,33054,2.0
665,Bldg26AP4,21399,33054,3.0
666,Bldg26AP5,21399,33054,3.0
667,Bldg26AP6,21399,33054,3.0
668,Bldg26AP7,21399,33054,3.0
669,Bldg26AP8,21399,33054,3.0
