AP,x_coordinate(m),y_coordinate(m),floor
Bldg3AP136,21804,32683,NA
Bldg3AP137,21804,32683,NA
Bldg3AP138,21804,32683,NA
Bldg4AP1,21613,32759,NA
Bldg4AP2,21613,32759,NA
Bldg4AP3,21613,32759,NA
Bldg4AP4,21613,32759,NA
Bldg4AP5,21613,32759,NA
Bldg4AP6,21613,32759,NA
Bldg4AP7,21613,32759,3
Bldg4AP8,21613,32759,2
Bldg4AP9,21613,32759,2
Bldg4AP10,21613,32759,2
Bldg4AP11,21613,32759,0
Bldg4AP12,21613,32759,0
Bldg4AP13,21613,32759,1
Bldg4AP14,21613,32759,1
Bldg4AP15,21613,32759,1
Bldg4AP16,21613,32759,1
Bldg4AP17,21613,32759,1
Bldg4AP18,21613,32759,1
Bldg4AP19,21613,32759,2
Bldg4AP20,21613,32759,2
Bldg4AP21,21613,32759,2
Bldg4AP22,21613,32759,2
Bldg4AP23,21613,32759,2
Bldg4AP24,21613,32759,2
Bldg4AP25,21613,32759,3
Bldg4AP26,21613,32759,3
Bldg4AP27,21613,32759,3
Bldg4AP28,21613,32759,3
Bldg4AP29,21613,32759,NA
Bldg4AP30,21613,32759,3
Bldg4AP31,21613,32759,1
Bldg4AP32,21613,32759,1
Bldg4AP33,21613,32759,1
Bldg4AP34,21613,32759,NA
Bldg5AP1,21620,32840,1
Bldg6AP1,21742,32802,2
Bldg6AP2,21742,32802,3
Bldg6AP3,21742,32802,2
Bldg6AP4,21742,32802,2
Bldg6AP5,21742,32802,3
Bldg6AP6,21742,32802,1
Bldg6AP7,21742,32802,1
Bldg6AP8,21742,32802,2
Bldg6AP9,21742,32802,2
Bldg6AP10,21742,32802,2
Bldg6AP11,21742,32802,2
Bldg6AP12,21742,32802,3
Bldg6AP13,21742,32802,3
Bldg6AP14,21742,32802,4
Bldg6AP15,21742,32802,2
Bldg6AP16,21742,32802,3
Bldg6AP17,21742,32802,5
Bldg6AP18,21742,32802,3
Bldg6AP19,21742,32802,5
Bldg6AP20,21742,32802,2
Bldg6AP21,21742,32802,2
Bldg6AP22,21742,32802,3
Bldg6AP23,21742,32802,3
Bldg6AP24,21742,32802,3
Bldg6AP25,21742,32802,3
Bldg6AP26,21742,32802,4
Bldg6AP27,21742,32802,2
Bldg6AP28,21742,32802,2
Bldg6AP29,21742,32802,2
Bldg6AP30,21742,32802,2
Bldg6AP31,21742,32802,4
Bldg6AP32,21742,32802,2
Bldg6AP33,21742,32802,2
Bldg6AP34,21742,32802,3
Bldg6AP35,21742,32802,3
Bldg6AP36,21742,32802,3
Bldg6AP37,21742,32802,2
Bldg6AP38,21742,32802,4
Bldg6AP39,21742,32802,4
Bldg7AP1,21504,32831,0
Bldg8AP1,21824,32886,2
Bldg8AP2,21824,32886,2
Bldg8AP3,21824,32886,2
Bldg8AP4,21824,32886,2
Bldg8AP5,21824,32886,2
Bldg8AP6,21824,32886,2
Bldg8AP7,21804,32861,1
Bldg8AP8,21804,32861,1
Bldg8AP9,21804,32861,1
Bldg8AP10,21804,32861,4
Bldg8AP11,21804,32861,4
Bldg8AP12,21804,32861,6
Bldg8AP13,21804,32861,6
Bldg8AP14,21804,32861,6
Bldg8AP15,21804,32861,6
Bldg8AP16,21804,32861,6
Bldg8AP17,21804,32861,6
Bldg8AP18,21804,32861,NA
Bldg8AP19,21804,32861,2
Bldg8AP20,21804,32861,3
Bldg8AP21,21804,32861,3
Bldg8AP22,21804,32861,4
Bldg8AP23,21804,32861,5
Bldg8AP24,21804,32861,5
Bldg9AP1,21851,32856,2
Bldg9AP2,21851,32856,2
Bldg9AP3,21851,32856,2
Bldg9AP4,21851,32856,4
Bldg9AP5,21851,32856,4
Bldg9AP6,21851,32856,4
Bldg9AP7,21851,32856,4
Bldg9AP8,21851,32856,4
Bldg9AP9,21851,32856,5
Bldg9AP10,21851,32856,5
Bldg9AP11,21851,32856,5
Bldg9AP12,21851,32856,5
Bldg9AP13,21851,32856,1
Bldg9AP14,21851,32856,1
Bldg9AP15,21851,32856,1
Bldg9AP16,21851,32856,4
Bldg9AP17,21851,32856,5
Bldg9AP18,21851,32856,5
Bldg10AP1,21736,32907,1
Bldg10AP2,21736,32907,2
Bldg10AP3,21736,32907,2
Bldg10AP4,21736,32907,3
Bldg10AP5,21736,32907,3
Bldg10AP6,21736,32907,4
Bldg10AP7,21736,32907,4
Bldg10AP8,21736,32907,1
Bldg11AP1,21663,33167,4
Bldg11AP2,21663,33167,4
Bldg11AP3,21663,33167,3
Bldg11AP4,21663,33167,4
Bldg11AP5,21663,33167,4
Bldg11AP6,21663,33167,4
Bldg11AP7,21663,33167,5
Bldg11AP8,21663,33167,5
Bldg11AP9,21663,33167,3
Bldg11AP10,21663,33167,2
Bldg11AP11,21663,33167,2
Bldg11AP12,21663,33167,1
Bldg11AP13,21663,33167,4
Bldg11AP14,21663,33167,3
Bldg11AP15,21663,33167,3
Bldg11AP16,21663,33167,4
Bldg11AP17,21663,33167,5
Bldg11AP18,21663,33167,5
Bldg11AP19,21663,33167,4
Bldg11AP20,21663,33167,5
Bldg11AP21,21663,33167,5
Bldg11AP22,21663,33167,2
Bldg11AP23,21663,33167,3
Bldg11AP24,21663,33167,3
Bldg11AP25,21663,33167,1
Bldg11AP26,21663,33167,2
Bldg11AP27,21663,33167,4
Bldg11AP28,21663,33167,3
Bldg11AP29,21663,33167,4
Bldg11AP30,21663,33167,5
Bldg11AP31,21663,33167,4
Bldg11AP32,21663,33167,4
Bldg11AP33,21663,33167,4
Bldg11AP34,21663,33167,4
Bldg11AP35,21663,33167,4
Bldg11AP36,21663,33167,5
Bldg11AP37,21663,33167,5
Bldg11AP38,21663,33167,1
Bldg11AP39,21663,33167,5
Bldg11AP40,21663,33167,5
Bldg11AP41,21663,33167,2
Bldg11AP42,21663,33167,3
Bldg11AP43,21663,33167,4
Bldg11AP44,21663,33167,4
Bldg11AP45,21663,33167,5
Bldg11AP46,21663,33167,5
Bldg11AP47,21663,33167,5
Bldg11AP48,21663,33167,3
Bldg11AP49,21663,33167,5
Bldg11AP50,21663,33167,1
Bldg11AP51,21663,33167,NA
Bldg12AP1,21598,33117,NA
Bldg12AP2,21598,33117,NA
Bldg12AP3,21598,33117,NA
Bldg12AP4,21598,33117,NA
Bldg13AP1,21486,32863,NA
Bldg14AP1,21675,32938,0
Bldg14AP2,21692,32884,0
Bldg14AP3,21692,32884,1
Bldg14AP4,21692,32884,1
Bldg14AP5,21692,32884,0
Bldg14AP6,21692,32884,1
Bldg14AP7,21675,32938,1
Bldg14AP8,21675,32938,1
Bldg14AP9,21675,32938,0
Bldg14AP10,21675,32938,1
Bldg14AP11,21692,32884,0
Bldg14AP12,21692,32884,0
Bldg14AP13,21692,32884,0
Bldg14AP14,21692,32884,1
Bldg14AP15,21692,32884,1
Bldg14AP16,21692,32884,1
Bldg14AP17,21675,32938,1
Bldg14AP18,21675,32938,1
Bldg14AP19,21692,32884,2
Bldg14AP20,21692,32884,2
