AP,x_coordinate(m),y_coordinate(m),floor
Bldg36AP5,21366,33402,5
Bldg36AP6,21366,33402,4
Bldg36AP7,21366,33402,4
Bldg36AP8,21366,33402,3
Bldg37AP1,21303,33425,2
Bldg37AP2,21303,33425,2
Bldg37AP3,21303,33425,2
Bldg37AP4,21303,33425,2
Bldg37AP5,21303,33425,2
Bldg37AP6,21303,33425,2
Bldg37AP7,21303,33425,2
Bldg37AP8,21303,33425,2
Bldg37AP9,21303,33425,2
Bldg37AP10,21303,33425,3
Bldg37AP11,21303,33425,3
Bldg37AP12,21303,33425,4
Bldg37AP13,21303,33425,4
Bldg37AP14,21303,33425,4
Bldg38AP1,21229,33425,NA
Bldg38AP2,21229,33425,2
Bldg38AP3,21229,33425,3
Bldg38AP4,21229,33425,2
Bldg38AP5,21229,33425,2
Bldg38AP6,21229,33425,5
Bldg38AP7,21229,33425,5
Bldg38AP8,21229,33425,4
Bldg38AP9,21229,33425,4
Bldg38AP10,21229,33425,4
Bldg38AP11,21229,33425,3
Bldg38AP12,21229,33425,2
Bldg38AP13,21229,33425,2
Bldg38AP14,21229,33425,2
Bldg38AP15,21229,33425,3
Bldg38AP16,21229,33425,3
Bldg38AP17,21229,33425,3
Bldg38AP18,21229,33425,2
Bldg38AP19,21229,33425,2
Bldg38AP20,21229,33425,3
Bldg38AP21,21229,33425,3
Bldg38AP22,21229,33425,2
Bldg39AP1,21303,33410,1
Bldg39AP2,21303,33410,2
Bldg40AP1,21217,33495,3
Bldg40AP2,21217,33495,3
Bldg40AP3,21217,33495,4
Bldg40AP4,21217,33495,4
Bldg40AP5,21264,33491,2
Bldg40AP6,21264,33491,2
Bldg40AP7,21264,33491,3
Bldg40AP8,21264,33491,3
Bldg40AP9,21264,33491,4
Bldg40AP10,21264,33491,4
Bldg40AP11,21302,33486,2
Bldg40AP12,21302,33486,2
Bldg40AP13,21302,33486,3
Bldg40AP14,21302,33486,4
Bldg40AP15,21302,33486,4
Bldg40AP16,21302,33486,1
Bldg40AP17,21264,33491,1
Bldg41AP1,20744,33415,2
Bldg41AP2,20744,33415,2
Bldg41AP3,20744,33415,3
Bldg41AP4,20744,33415,2
Bldg42AP1,20995,33297,2
Bldg43AP1,21808,32346,NA
Bldg43AP2,21808,32346,NA
Bldg43AP3,21808,32346,NA
Bldg43AP4,21808,32346,NA
Bldg43AP5,21808,32346,NA
Bldg43AP6,21808,32346,NA
Bldg44AP1,14703,39123,2
Bldg44AP2,14703,39123,2
Bldg44AP3,14703,39123,2
Bldg44AP4,14703,39123,2
Bldg44AP5,14703,39123,2
Bldg44AP6,14703,39123,2
Bldg44AP7,14703,39123,3
Bldg44AP8,14703,39123,4
Bldg44AP9,14703,39123,3
Bldg44AP10,14703,39123,3
Bldg44AP11,14703,39123,3
Bldg44AP12,14703,39123,4
Bldg44AP13,14703,39123,4
Bldg44AP14,14703,39123,4
Bldg44AP15,14703,39123,4
Bldg44AP16,14703,39123,4
Bldg44AP17,14703,39123,1
Bldg44AP18,14703,39123,2
Bldg44AP19,14703,39123,2
Bldg44AP20,14703,39123,2
Bldg44AP21,14703,39123,2
Bldg44AP22,14703,39123,3
Bldg44AP23,14703,39123,3
Bldg44AP24,14703,39123,3
Bldg44AP25,14703,39123,3
Bldg44AP26,14703,39123,3
Bldg44AP27,14703,39123,3
Bldg44AP28,14703,39123,4
Bldg44AP29,14703,39123,4
Bldg44AP30,14703,39123,4
Bldg44AP31,14703,39123,4
Bldg44AP32,14703,39123,3
Bldg44AP33,14703,39123,4
Bldg44AP34,14703,39123,4
Bldg44AP35,14703,39123,4
Bldg44AP36,14703,39123,4
Bldg44AP37,14703,39123,4
Bldg44AP38,14703,39123,2
Bldg44AP39,14703,39123,2
Bldg44AP40,14703,39123,4
Bldg44AP41,14703,39123,4
Bldg44AP42,14703,39123,4
Bldg44AP43,14703,39123,4
Bldg44AP44,14703,39123,3
Bldg44AP45,14703,39123,3
Bldg44AP46,14703,39123,3
Bldg44AP47,14703,39123,4
Bldg44AP48,14703,39123,4
Bldg44AP49,14703,39123,4
Bldg44AP50,14703,39123,3
Bldg44AP51,14703,39123,3
Bldg44AP52,14703,39123,3
Bldg44AP53,14703,39123,2
Bldg44AP54,14703,39123,2
Bldg44AP55,14703,39123,2
Bldg44AP56,14703,39123,2
Bldg44AP57,14703,39123,2
Bldg44AP58,14703,39123,3
Bldg44AP59,14703,39123,3
Bldg44AP60,14703,39123,3
Bldg44AP61,14703,39123,4
Bldg44AP62,14703,39123,3
Bldg44AP63,14703,39123,3
Bldg44AP64,14703,39123,3
Bldg44AP65,14703,39123,2
Bldg44AP66,14703,39123,2
Bldg44AP67,14703,39123,2
Bldg44AP68,14703,39123,2
Bldg44AP69,14703,39123,2
Bldg44AP70,14703,39123,2
Bldg44AP71,14703,39123,2
Bldg44AP72,14703,39123,2
Bldg44AP73,14703,39123,2
Bldg44AP74,14703,39123,3
Bldg44AP75,14703,39123,3
Bldg44AP76,14703,39123,3
Bldg44AP77,14703,39123,3
Bldg44AP78,14703,39123,3
Bldg44AP79,14703,39123,3
Bldg44AP80,14703,39123,4
Bldg44AP81,14703,39123,1
Bldg44AP82,14703,39123,2
Bldg44AP83,14703,39123,2
Bldg44AP84,14703,39123,2
Bldg44AP85,14703,39123,2
Bldg45AP1,3981,15119,NA
Bldg45AP2,3981,15119,NA
Bldg45AP3,3981,15119,NA
Bldg45AP4,3981,15119,NA
Bldg45AP5,3981,15119,NA
Bldg45AP6,3981,15119,NA
Bldg45AP7,3981,15119,NA
Bldg45AP8,3981,15119,NA
Bldg45AP9,3981,15119,NA
Bldg45AP10,3981,15119,NA
Bldg45AP11,3981,15119,2
Bldg45AP12,3981,15119,NA
Bldg45AP13,3981,15119,2
Bldg45AP14,3981,15119,NA
Bldg45AP15,3981,15119,NA
Bldg45AP16,3981,15119,NA
Bldg45AP17,3981,15119,NA
Bldg45AP18,3981,15119,NA
Bldg45AP19,3981,15119,NA
Bldg45AP20,3981,15119,NA
Bldg45AP21,3981,15119,NA
Bldg45AP22,3981,15119,NA
Bldg45AP23,3981,15119,NA
Bldg45AP24,3981,15119,NA
Bldg45AP25,3981,15119,NA
Bldg45AP26,3981,15119,NA
Bldg45AP27,3981,15119,NA
Bldg45AP28,3981,15119,NA
Bldg45AP29,3981,15119,NA
Bldg45AP30,3981,15119,NA
Bldg45AP31,3981,15119,NA
Bldg45AP32,3981,15119,NA
Bldg45AP33,3981,15119,NA
Bldg45AP34,3981,15119,NA
Bldg45AP35,3981,15119,NA
Bldg45AP36,3981,15119,NA
Bldg45AP37,3981,15119,3
Bldg46AP1,25242,12247,2
Bldg46AP2,25242,12247,3
Bldg46AP3,25242,12247,3
Bldg46AP4,25242,12247,3
Bldg46AP5,25242,12247,3
Bldg46AP6,25242,12247,5
Bldg46AP7,25242,12247,5
Bldg46AP8,25242,12247,6
Bldg46AP9,25242,12247,6
Bldg46AP10,25242,12247,6
Bldg46AP11,25242,12247,7
Bldg46AP12,25242,12247,7
Bldg46AP13,25242,12247,3
Bldg46AP14,25242,12247,4
Bldg46AP15,25242,12247,4
Bldg46AP16,25242,12247,5
Bldg46AP17,25242,12247,5
Bldg46AP18,25242,12247,5
Bldg46AP19,25242,12247,6
Bldg46AP20,25242,12247,6
Bldg46AP21,25242,12247,6
Bldg46AP22,25242,12247,7
Bldg46AP23,25242,12247,7
Bldg47AP1,14093,18419,2
Bldg47AP2,14093,18419,3
Bldg47AP3,14093,18419,3
Bldg47AP4,14093,18419,3
Bldg47AP5,14093,18419,4
Bldg47AP6,14093,18419,4
Bldg47AP7,14093,18419,4
Bldg47AP8,14093,18419,5
Bldg47AP9,14093,18419,6
Bldg47AP10,14093,18419,4
Bldg47AP11,14093,18419,2
Bldg47AP12,14093,18419,2
Bldg47AP13,14093,18419,2
Bldg47AP14,14093,18419,2
Bldg47AP15,14093,18419,2
Bldg47AP16,14093,18419,3
Bldg47AP17,14093,18419,4
Bldg47AP18,14093,18419,5
Bldg47AP19,14093,18419,5
Bldg47AP20,14093,18419,6
Bldg47AP21,14093,18419,6
Bldg47AP22,14093,18419,6
Bldg48AP1,14356,39196,4
Bldg48AP2,14356,39196,4
Bldg48AP3,14356,39196,5
Bldg48AP4,14356,39196,5
Bldg48AP5,14356,39196,6
Bldg48AP6,14356,39196,7
Bldg48AP7,14356,39196,7
Bldg48AP8,14356,39196,7
Bldg48AP9,14356,39196,7
Bldg48AP10,14356,39196,7
Bldg48AP11,14356,39196,8
Bldg48AP12,14356,39196,8
Bldg48AP13,14356,39196,8
Bldg48AP14,14356,39196,8
Bldg48AP15,14356,39196,8
Bldg48AP16,14356,39196,8
Bldg48AP17,14356,39196,8
Bldg48AP18,14356,39196,8
Bldg48AP19,14356,39196,8
Bldg48AP20,14356,39196,8
Bldg48AP21,14356,39196,3
Bldg48AP22,14356,39196,3
Bldg48AP23,14356,39196,4
Bldg48AP24,14356,39196,4
Bldg48AP25,14356,39196,5
Bldg48AP26,14356,39196,5
Bldg48AP27,14356,39196,5
Bldg48AP28,14356,39196,6
Bldg48AP29,14356,39196,6
Bldg48AP30,14356,39196,6
Bldg48AP31,14356,39196,7
Bldg48AP32,14356,39196,8
Bldg48AP33,14356,39196,8
Bldg48AP34,14356,39196,4
Bldg48AP35,14356,39196,NA
Bldg48AP36,14356,39196,NA
Bldg48AP37,14356,39196,NA
Bldg48AP38,14356,39196,NA
Bldg48AP39,14356,39196,NA
Bldg48AP40,14356,39196,NA
Bldg48AP41,14356,39196,NA
Bldg48AP42,14356,39196,NA
Bldg48AP43,14356,39196,NA
Bldg48AP44,14356,39196,NA
Bldg48AP45,14356,39196,NA
Bldg48AP46,14356,39196,NA
Bldg48AP47,14356,39196,NA
Bldg48AP48,14356,39196,NA
Bldg48AP49,14356,39196,NA
Bldg48AP50,14356,39196,NA
Bldg48AP51,14356,39196,NA
Bldg48AP52,14356,39196,NA
Bldg48AP53,14356,39196,NA
Bldg48AP54,14356,39196,NA
Bldg48AP55,14356,39196,NA
Bldg48AP56,14356,39196,NA
Bldg48AP57,14356,39196,NA
Bldg48AP58,14356,39196,NA
Bldg48AP59,14356,39196,NA
Bldg48AP60,14356,39196,NA
Bldg48AP61,14356,39196,NA
Bldg48AP62,14356,39196,NA
Bldg48AP63,14356,39196,NA
Bldg48AP64,14356,39196,NA
Bldg48AP65,14356,39196,NA
Bldg48AP66,14356,39196,NA
Bldg48AP67,14356,39196,NA
Bldg48AP68,14356,39196,NA
Bldg48AP69,14356,39196,NA
Bldg48AP70,14356,39196,NA
Bldg48AP71,14356,39196,NA
Bldg48AP72,14356,39196,NA
